I0,I1,I2,Area,I3,I4,I5,Class
0.714603174,2.178055921,2.858966907,68.5,4.164658013,7.981983946,5.383028442,Giovanna
0.50168161,1.497906755,1.937906681,76.5,2.971546177,6.560340405,4.259015821,Giovanna
0.535426885,1.316821996,2.592195331,69,3.162168069,6.068905556,3.945209835,Giovanna
0.435538289,1.037845209,2.867741599,83,3.570224824,6.995427017,4.475821369,Giovanna
0.480562778,1.222629968,2.272674831,58.5,3.216535439,6.01103665,3.960145535,Giovanna
0.570849241,1.716142252,2.550842976,82.5,3.574466981,6.640679498,4.436784067,Giovanna
0.584033764,1.674707304,2.071584084,75,3.14723644,6.021759152,4.252332822,Giovanna
0.607797549,2.948436213,6.58960005,563.5,4.212350685,9.641839578,5.86615336,Giovanna
0.505433177,1.257970825,3.021399918,100.5,4.18609024,8.911271735,4.964446069,Giovanna
0.652026992,2.088389625,2.472188984,58.5,3.491985609,7.061766544,5.277080932,Giovanna
0.584174059,1.683102765,3.562379527,50.5,3.763452239,7.684095095,5.220295796,Giovanna
0.509337394,1.248163915,3.428947168,270.5,4.209231792,8.418743719,5.381024863,Giovanna
0.531012689,1.808002298,2.720612312,860,3.823347523,7.105011821,4.806705525,Giovanna
0.609209024,1.618665364,2.531897195,57,3.370364063,6.418314534,4.728247642,Giovanna
0.352808691,1.200641624,1.46662879,119,2.586355831,5.555577194,4.372121596,Giovanna
0.470306392,1.194173167,2.091231404,63.5,3.135518197,6.668809399,4.674458774,Giovanna
0.511556589,1.485597785,2.002322045,143.5,2.460197741,4.69755342,3.231898776,Giovanna
