Image,I1,I2,I3,I4,I5,I6,Class
nd106 cloz03.tif,0.531483915,1.597285546,2.084557908,2.906140992,5.590758019,4.105465808,Corante
nd106 cloz03.tif,0.624803631,3.067928769,2.480422497,3.059135421,5.897436493,4.596861264,Corante
nd106 cloz03.tif,0.7240874,2.275517719,3.349528715,4.332407258,8.292047747,5.740368356,Corante
nd106 cloz03.tif,0.69399915,2.785389837,3.176914958,3.469370011,7.197904921,4.921821945,Corante
nd106 cloz03.tif,0.177585237,0.589672069,2.086663444,1.688092242,3.580152119,2.000335003,Corante
nd106 cloz03.tif,0.719292845,2.608163133,3.010139189,4.507253963,8.326185699,6.013809454,Corante
nd106 cloz03.tif,0.755691898,2.538190334,4.096597993,5.711121277,10.8482351,7.348871632,Corante
nd106 cloz03.tif,0.616146793,1.83308266,2.526426919,3.254971967,6.163320526,4.273605348,Corante
nd106 cloz03.tif,0.710048657,2.280469925,3.10670581,4.368218667,8.627586697,5.589854394,Corante
nd106 cloz03.tif,0.593630883,1.645355593,3.587058445,4.417101977,8.917939402,5.430826507,Corante
nd106 cloz03.tif,0.727536198,2.467183063,5.992586718,6.672771858,13.35749111,7.911644751,Corante
nd106 cloz03.tif,0.423862658,1.720056589,2.944788067,2.389799817,5.126273283,3.251760634,Corante
nd106 cloz03.tif,0.476638399,1.212903241,1.981248735,2.414802482,4.615874526,3.021316349,Corante
nd106 cloz03.tif,0.651185692,2.103766077,2.767906319,3.443152268,6.551276276,4.683876153,Corante
nd106 cloz03.tif,0.506531147,1.489478092,2.107591877,3.033834409,5.784590005,3.804766864,Corante
nd106 cloz03.tif,0.661549056,1.985278378,3.582241433,4.200541902,8.354518287,5.296534994,Corante
nd106 cloz03.tif,0.685434153,2.368429606,3.20153841,3.475236001,6.883888547,4.679463458,Corante
nd106 cloz03.tif,0.263218802,0.884754362,0.909785075,1.12406382,2.176801256,1.613108002,Corante
nd106 cloz03.tif,0.669957133,2.268207009,3.37862205,4.325709147,8.17863219,5.568374262,Corante
nd106 cloz03.tif,0.287396873,1.585534275,1.330595901,1.425087506,2.820141912,2.288637649,Corante
nd106 cloz03.tif,0.706588996,2.122011025,3.523824526,4.860993092,9.593642199,5.969461743,Corante
nd106 cloz03.tif,0.732819832,2.456179846,3.651421414,4.140066555,8.068457374,5.434462329,Corante
nd106 cloz03.tif,0.619125026,2.051258812,3.37640403,4.0023813,7.806420526,5.307400387,Corante
nd106 cloz03.tif,0.635120278,1.846086779,3.138514706,3.335177831,6.572145628,4.372589742,Corante
nd106 cloz03.tif,0.643394236,2.127456677,2.849020589,4.887584625,8.804504257,6.406931346,Corante
nd106 cloz03.tif,0.76575189,3.29578407,3.388286707,5.505980058,10.2200836,7.916032017,Corante
nd106 cloz03.tif,0.64008817,2.2151714,2.924437726,3.853779875,7.268566919,4.984939343,Corante
nd106 cloz03.tif,0.604218243,2.363050515,2.622064665,3.614453219,7.218870666,4.799830488,Corante
nd106 cloz03.tif,0.693024931,2.547641082,4.599162023,3.756824666,10.21081065,5.357844186,Corante
nd106 cloz03.tif,0.549799838,1.516516315,2.203291562,2.71793713,5.179140603,3.488879268,Corante
nd106 cloz03.tif,0.669981519,2.337315194,2.909941062,3.255308941,6.487674651,4.654675979,Corante
nd106 cloz03.tif,0.682004154,2.018545016,2.979257679,3.50375923,6.748074579,4.639581698,Corante
nd106 cloz03.tif,0.074993428,0.391731372,1.612590324,2.923565835,5.221193532,3.264910245,Corante
nd106 cloz03.tif,0.542900395,1.678489458,2.72727037,4.022415957,7.397539648,4.990252263,Corante
nd106 cloz03.tif,0.729462125,2.651929745,3.814440008,4.244522722,8.27782182,5.607865014,Corante
nd106 cloz03.tif,0.492746867,1.832619765,1.657661536,2.901469864,5.306404432,3.871164121,Corante
nd106 cloz03.tif,0.388067779,1.10836414,2.11258076,2.092422318,4.196156436,2.647343316,Corante
nd106 cloz03.tif,0.704811036,3.054332156,3.055654957,4.736349864,8.64038729,6.362274811,Corante
nd106 cloz03.tif,0.775369041,3.442536316,3.503180752,5.984969441,11.27355936,7.708988185,Corante
nd106 cloz03.tif,0.401697492,1.733840721,1.319116196,1.734895192,3.272299296,2.673525128,Corante
nd106 cloz03.tif,0.507989921,1.358068537,2.475436713,2.789693606,5.43706836,3.489903233,Corante
nd106 cloz03.tif,0.69886717,2.10968699,3.272649685,4.112564888,9.718600874,6.278109425,Corante
nd106 cloz03.tif,0.400549325,1.086044281,1.782200448,2.27387715,4.341333716,2.858826519,Corante
nd106 cloz04.tif,0.707862412,2.456180228,3.123073999,3.680916173,7.099096233,5.023190445,Corante
nd106 cloz04.tif,0.699004115,2.334704555,2.720145959,4.143593433,7.755931999,5.345497653,Corante
nd106 cloz04.tif,0.76093801,2.76450356,4.05371411,5.442594463,10.9750192,7.112074344,Corante
nd106 cloz04.tif,0.487890176,1.265870747,2.528597275,2.313685059,4.735071891,2.957751076,Corante
nd106 cloz04.tif,0.458953995,1.236342863,2.370325475,3.125000642,6.781540485,4.016902453,Corante
nd106 cloz04.tif,0.622242748,1.884170093,2.772694372,3.663522327,6.893147514,4.65062884,Corante
nd106 cloz04.tif,0.664873971,1.836335271,4.305618558,3.980499035,8.892769333,4.905297099,Corante
nd106 cloz04.tif,0.639852949,1.752312915,3.445809521,3.622522186,7.192447376,4.560625318,Corante
nd106 cloz04.tif,0.497285175,1.651990602,2.526017604,3.904576779,7.124846001,4.735830553,Corante
nd106 cloz04.tif,0.740222155,2.291175037,4.138528312,5.296012514,10.4675356,6.835188507,Corante
